accessed date,accessed datetime,time,time (bin),Day of the month,Day of the Week,Day Name,Weekend,Month,Month Name,SDoH,PHQ9,CAGE-AID,GAD7,Total Websites,SDoH Percentage,PHQ9 Percentage,CAGE-AID Percentage,GAD7 Percentage
1/28/2025,2025-01-28T20:16:47.0141540,20,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T20:16:52.1371220,20,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T20:17:00.3843170,20,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T21:25:42.8510630,21,After 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T21:25:42.8678320,21,After 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T21:26:16.8252230,21,After 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:10:29.0013620,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:10:48.6498550,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,2,0,0,0,0
2/4/2025,2025-02-04T14:11:09.4436610,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:11:12.3712390,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:12:26.3928760,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:26:38.7296170,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:30:00.0129090,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:32:22.8630140,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:32:23.9336140,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:34:28.0936620,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:34:28.9053210,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:34:54.6677800,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:37:34.8550670,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:37:36.7203130,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:37:41.6340360,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:37:46.1079130,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:39:44.4226410,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:40:02.5635980,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:40:06.3679170,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:40:11.2011450,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T14:54:44.1972100,14,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,2,0,0,0,0
2/4/2025,2025-02-04T15:01:38.2583000,15,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T15:05:42.8952410,15,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T15:09:24.2183020,15,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T15:41:57.3283190,15,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T15:42:06.2738710,15,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T15:50:20.0644910,15,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T16:04:22.5311700,16,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T16:05:08.4726240,16,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,2,0,0,0,0
2/4/2025,2025-02-04T16:13:51.7885660,16,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T16:14:11.2794770,16,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T16:15:45.1716090,16,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T16:19:08.7419340,16,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T18:18:03.2892680,18,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T19:13:24.0540780,19,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T19:13:28.9800880,19,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T20:45:49.6346520,20,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T20:47:07.2847590,20,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/4/2025,2025-02-04T20:47:17.8977130,20,12PM to 8PM,4,2,Tuesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T15:52:26.4903070,15,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:13:46.6581780,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:14:16.2423010,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,3,0,0,0,0
2/5/2025,2025-02-05T16:14:41.7817320,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:18:31.8402420,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:18:43.5612090,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:18:49.8225390,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:18:50.3154620,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:18:51.9873350,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:18:52.5087930,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T16:55:53.1223520,16,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T17:21:20.1844090,17,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T17:23:50.4037860,17,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T17:24:46.9419390,17,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,2,0,0,0,0
2/5/2025,2025-02-05T18:27:08.2974320,18,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,2,0,0,0,0
2/5/2025,2025-02-05T18:27:39.9242120,18,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T18:27:45.0087000,18,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,1,1,0,0,0,1
2/5/2025,2025-02-05T18:27:48.1189170,18,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T18:28:01.4070340,18,12PM to 8PM,5,3,Wednesday,No,2,February,0,1,0,1,1,0,1,0,1
2/5/2025,2025-02-05T18:29:37.0640190,18,12PM to 8PM,5,3,Wednesday,No,2,February,0,0,0,0,1,0,0,0,0
2/5/2025,2025-02-05T19:50:34.6932210,19,12PM to 8PM,5,3,Wednesday,No,2,February,1,0,0,0,1,1,0,0,0
