accessed datetime,year,month name,month number,day of month,weekday number,weekday name,weekend (y/n),hour,Hour (bins),Hour (for bin use),PHQ-9 (Sum by day),GAD-7 (Sum by day),SDoH (Sum by day),CAGE-AID (Sum by day),Total Websites (Sum by day),PHQ-9 Daily Sum / Website Sum,SDoH Daily Sum / Website Sum,GAD-7 Daily Sum / Website Sum,CAGE-AID Daily Sum / Website Sum
2025-04-24T00:15:44.8520000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.15,0,0,0,0,1,0,0,0,0
2025-04-24T00:15:46.5330000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.15,0,0,0,0,1,0,0,0,0
2025-04-24T00:15:47.5880000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.15,0,0,0,0,1,0,0,0,0
2025-04-24T00:15:50.7580000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.15,0,0,0,0,1,0,0,0,0
2025-04-24T00:15:54.2230000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.15,0,0,0,0,1,0,0,0,0
2025-04-24T00:15:57.3880000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.15,0,0,0,0,1,0,0,0,0
2025-04-24T00:19:09.5490000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.19,0,0,0,0,1,0,0,0,0
2025-04-24T00:19:10.8260000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.19,0,0,0,0,1,0,0,0,0
2025-04-24T00:19:12.7000000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.19,0,0,0,0,1,0,0,0,0
2025-04-24T00:23:45.2650000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.23,0,0,0,0,1,0,0,0,0
2025-04-24T09:48:45.7790000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.48,0,0,0,0,2,0,0,0,0
2025-04-24T09:48:59.5400000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.48,0,0,0,0,1,0,0,0,0
2025-04-24T09:49:07.9800000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.49,0,0,0,0,6,0,0,0,0
2025-04-24T09:49:16.2420000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.49,0,0,0,0,2,0,0,0,0
2025-04-24T09:49:29.2030000,2025,April,4,24,4,Thursday,No,9,Between 6AM and 12PM,9.49,0,0,0,0,1,0,0,0,0
